asset_type,asset_id,filename,prompt
character_portrait,riftforged-sentinel,riftforged-sentinel.png,"Premium sci-fantasy hero portrait, Riftforged Sentinel, stern male guardian, short white-silver hair or armored helm, glowing cyan eyes or visor, angular steel armor, hard-light shield technology, cyan and steel palette, fortress battlement background, cinematic lighting, polished digital painting, clean face detail, no text, no watermark"
character_portrait,void-ranger,void-ranger.png,"Premium sci-fantasy hero portrait, Void Ranger, sharp female ranger, dark hair with violet-cyan highlights, piercing neon eyes, sleek tactical armor and cloak, indigo and cyan palette, phase energy trails, dimensional ruins background, cinematic lighting, polished digital painting, clean face detail, no text, no watermark"
character_portrait,ember-arcanist,ember-arcanist.png,"Premium sci-fantasy hero portrait, Ember Arcanist, brilliant mage with ember orange and magenta highlights, glowing eyes, elegant arcane robes with molten armor accents, ember and teal palette, floating runes and spell fire, ritual chamber background, cinematic lighting, polished digital painting, clean face detail, no text, no watermark"
character_portrait,ironbound-beastmaster,ironbound-beastmaster.png,"Premium sci-fantasy hero portrait, Ironbound Beastmaster, fierce rugged male warrior, wild hair, battle scars, brass and iron armor mixed with primal leather, rust red brass and moss palette, engineered beast beside him, iron jungle background, cinematic lighting, polished digital painting, clean face detail, no text, no watermark"
character_portrait,chronomancer,chronomancer.png,"Premium sci-fantasy hero portrait, Chronomancer, elegant cryptic time mage, pale hair with gold-blue glow, refined temporal robes and armor, gold azure and pale violet palette, clock halos and stasis shards, broken observatory background, cinematic lighting, polished digital painting, clean face detail, no text, no watermark"
character_portrait,abyss-revenant,abyss-revenant.png,"Premium sci-fantasy hero portrait, Abyss Revenant, tragic male revenant, pale skin, long dark hair, crimson-violet glowing eyes, broken black armor with bone details, deep violet crimson and bone palette, spectral soul energy, abyss cathedral background, cinematic lighting, polished digital painting, clean face detail, no text, no watermark"
avatar,avatar-01,avatar-01.png,"Game profile avatar, young male sci-fantasy pilot, teal glow accents, bust portrait, dark background, high contrast, clean face detail, no text, no watermark"
avatar,avatar-02,avatar-02.png,"Game profile avatar, young female cyber ranger, indigo and cyan palette, bust portrait, clean face detail, dark background, no text, no watermark"
avatar,avatar-03,avatar-03.png,"Game profile avatar, armored male guardian with glowing visor, cyan steel palette, bust portrait, clean face detail, no text, no watermark"
avatar,avatar-04,avatar-04.png,"Game profile avatar, ember mage woman with glowing orange eyes and spell sparks, bust portrait, dark background, no text, no watermark"
avatar,avatar-05,avatar-05.png,"Game profile avatar, rugged beast hunter male with scars and brass armor, bust portrait, high contrast, no text, no watermark"
avatar,avatar-06,avatar-06.png,"Game profile avatar, elegant chrono scholar woman with gold-blue glow, bust portrait, refined face detail, no text, no watermark"
avatar,avatar-07,avatar-07.png,"Game profile avatar, revenant knight male with crimson-violet eyes, dark fantasy sci-fantasy bust portrait, no text, no watermark"
avatar,avatar-08,avatar-08.png,"Game profile avatar, masked void sniper woman with phase glow, bust portrait, dark background, no text, no watermark"
avatar,avatar-09,avatar-09.png,"Game profile avatar, cheerful young engineer with holographic tools, sci-fantasy bust portrait, no text, no watermark"
avatar,avatar-10,avatar-10.png,"Game profile avatar, battle medic with luminous visor and soft teal light, bust portrait, no text, no watermark"
avatar,avatar-11,avatar-11.png,"Game profile avatar, elite female commander with sharp features and navy armor, bust portrait, no text, no watermark"
avatar,avatar-12,avatar-12.png,"Game profile avatar, mysterious hooded mage with magenta-teal spell light, bust portrait, no text, no watermark"
avatar,avatar-13,avatar-13.png,"Game profile avatar, cyber beast tamer with glowing amber eyes and leather-metal armor, bust portrait, no text, no watermark"
avatar,avatar-14,avatar-14.png,"Game profile avatar, noble futuristic knight with white hair and blue aura, bust portrait, no text, no watermark"
faction_crest,riftforged-sentinel-crest,riftforged-sentinel-crest.svg,"Faction crest emblem, Riftforged Sentinel, angular shield icon with fortress geometry and cyan core, steel and cyan palette, clean logo style, centered, no text, transparent or dark background"
faction_crest,void-ranger-crest,void-ranger-crest.svg,"Faction crest emblem, Void Ranger, sharp arrowhead and phase ring motif, indigo and neon cyan palette, sleek clean logo style, centered, no text, transparent or dark background"
faction_crest,ember-arcanist-crest,ember-arcanist-crest.svg,"Faction crest emblem, Ember Arcanist, arcane flame sigil with rune circle, ember orange magenta and teal accents, clean logo style, centered, no text, transparent or dark background"
faction_crest,ironbound-beastmaster-crest,ironbound-beastmaster-crest.svg,"Faction crest emblem, Ironbound Beastmaster, mechanical beast fang crest with brass and rust red palette, primal metal logo style, centered, no text, transparent or dark background"
faction_crest,chronomancer-crest,chronomancer-crest.svg,"Faction crest emblem, Chronomancer, hourglass and clock halo sigil, gold azure pale violet palette, elegant clean logo style, centered, no text, transparent or dark background"
faction_crest,abyss-revenant-crest,abyss-revenant-crest.svg,"Faction crest emblem, Abyss Revenant, broken crown and soul flame sigil, crimson violet bone palette, dark elegant logo style, centered, no text, transparent or dark background"
card_back,card-back,card-back.png,"Premium trading card back design for Chronicles of the RIFT, sci-fantasy style, centered rift emblem, elegant symmetry, blue-cyan cosmic energy, metallic frame accents, premium TCG card back, no text, no watermark, portrait 3:4"
deck_back,deck-back,deck-back.png,"Premium deck back design for Chronicles of the RIFT tabletop, heavier ornamental sci-fantasy style, layered metallic edges, glowing rift core in center, darker and richer than normal card back, premium fantasy TCG accessory design, no text, no watermark, portrait 3:4"
icon,icon-mana,icon-mana.svg,"Game UI icon, mana crystal, sci-fantasy style, glowing blue energy gem, simple clean silhouette, no text, transparent background"
icon,icon-health,icon-health.svg,"Game UI icon, health symbol, futuristic red vitality core, simple clean silhouette, no text, transparent background"
icon,icon-attack,icon-attack.svg,"Game UI icon, attack symbol, sharp blade strike with energy trail, simple clean silhouette, no text, transparent background"
icon,icon-shield,icon-shield.svg,"Game UI icon, defense shield, angular hard-light barrier symbol, simple clean silhouette, no text, transparent background"
icon,icon-unit,icon-unit.svg,"Game UI icon, unit card symbol, armored figure silhouette, simple clean silhouette, no text, transparent background"
icon,icon-spell,icon-spell.svg,"Game UI icon, spell card symbol, glowing rune circle, simple clean silhouette, no text, transparent background"
icon,icon-timer,icon-timer.svg,"Game UI icon, timer symbol, futuristic hourglass and clock ring, simple clean silhouette, no text, transparent background"
icon,icon-room,icon-room.svg,"Game UI icon, room or join symbol, doorway with glowing portal outline, simple clean silhouette, no text, transparent background"
icon,icon-host,icon-host.svg,"Game UI icon, host or crown symbol, futuristic crown badge, simple clean silhouette, no text, transparent background"
icon,icon-audio,icon-audio.svg,"Game UI icon, sound symbol, speaker with energy wave arcs, simple clean silhouette, no text, transparent background"
icon,icon-logout,icon-logout.svg,"Game UI icon, logout symbol, arrow leaving futuristic panel, simple clean silhouette, no text, transparent background"
